,customer_id,customer_classification,api_calls,api_usage_rank
305,944,Medium,5301,84.0
405,1427,Medium,5235,85.0
295,912,Medium,5046,86.0
395,1380,Medium,4999,87.0
104,278,Medium,4993,88.0
115,366,Medium,4859,89.0
42,116,Medium,4716,90.0
292,901,Medium,4630,91.0
339,1119,Medium,4627,92.0
174,585,Medium,4529,93.0
352,1195,Medium,4512,94.0
130,406,Medium,4472,95.0
452,1601,Medium,4425,96.0
442,1569,Medium,4299,97.0
430,1537,Medium,4298,98.0
243,788,Medium,4275,99.0
363,1231,Medium,4244,100.0
297,921,Medium,4135,101.0
320,986,Medium,4029,102.0
444,1573,Medium,4002,103.0
410,1485,Medium,4001,104.0
432,1546,Medium,3979,105.0
271,856,Medium,3975,106.0
222,731,Medium,3925,107.0
402,1421,Medium,3833,108.0
376,1286,Medium,3724,109.0
388,1331,Medium,3692,110.0
151,529,Medium,3673,111.0
140,432,Medium,3477,112.0
391,1348,Medium,3463,113.0
448,1585,Medium,3457,114.0
304,941,Medium,3349,115.0
247,797,Medium,3294,116.0
408,1480,Medium,3264,117.0
56,152,Medium,3111,118.0
346,1174,Medium,2667,119.0
335,1108,Medium,2650,120.0
370,1260,Medium,2604,121.0
329,1092,Medium,2528,122.0
299,926,Medium,2511,123.0
359,1213,Medium,2499,124.0
146,487,Medium,2478,125.0
144,484,Medium,2408,126.0
29,84,Medium,2393,127.0
373,1278,Medium,2391,128.0
233,760,Medium,2379,129.0
164,562,Medium,2378,130.0
198,639,Medium,2349,131.0
298,923,Medium,2335,132.0
372,1276,Medium,2334,133.0
163,558,Medium,2182,134.0
330,1097,Medium,1967,135.0
204,658,Medium,1955,136.0
107,283,Medium,1866,137.0
319,984,Medium,1779,138.0
113,306,Medium,1682,139.0
306,946,Medium,1605,140.0
309,952,Medium,1496,141.0
90,244,Medium,1459,142.0
290,896,Medium,1294,143.0
110,299,Medium,1189,144.0
55,150,Medium,1185,145.0
93,252,Medium,1165,146.0
277,868,Medium,1160,147.0
239,779,Medium,1156,148.0
385,1311,Medium,1151,149.0
186,611,Medium,1007,150.0
54,148,Medium,975,151.0
431,1544,Small,34098,1.0
435,1552,Small,26485,2.0
12,27,Small,24919,3.0
315,971,Small,22732,4.0
40,110,Small,21924,5.0
51,138,Small,21692,6.0
418,1512,Small,21308,7.0
160,551,Small,19589,8.0
308,950,Small,19411,9.0
327,1016,Small,18631,10.0
102,274,Small,18232,11.0
69,185,Small,18192,12.0
340,1121,Small,16633,13.0
58,156,Small,16331,14.0
291,898,Small,15400,15.0
366,1238,Small,15143,16.0
436,1554,Small,14952,17.0
162,555,Small,14435,18.0
81,220,Small,14423,19.0
449,1592,Small,14381,20.0
117,369,Small,13529,21.0
165,564,Small,13234,22.0
334,1106,Small,13166,23.0
73,197,Small,12776,24.0
22,50,Small,12633,25.0
161,553,Small,11976,26.0
353,1198,Small,11964,27.0
266,843,Small,11874,28.0
420,1520,Small,11846,29.0
322,1003,Small,11716,30.0
245,793,Small,11433,31.0
354,1201,Small,11405,32.0
43,118,Small,11082,33.0
348,1180,Small,10851,34.0
414,1494,Small,10645,35.0
263,835,Small,10624,36.0
225,741,Small,10572,37.0
424,1525,Small,10268,38.0
415,1499,Small,10016,39.0
396,1382,Small,9836,40.0
52,142,Small,9620,41.0
19,42,Small,9547,42.0
429,1535,Small,9523,43.0
369,1253,Small,9399,44.0
71,194,Small,9152,45.0
75,202,Small,9036,46.0
171,578,Small,8965,47.0
132,414,Small,8797,48.0
48,129,Small,8723,49.0
253,808,Small,8660,50.0
120,377,Small,8523,51.0
375,1284,Small,8381,52.0
68,181,Small,8111,53.0
157,543,Small,8038,54.0
426,1529,Small,8012,55.0
280,875,Small,7888,56.0
427,1531,Small,7835,57.0
150,520,Small,7418,58.0
276,866,Small,7334,59.0
167,568,Small,7311,60.0
172,580,Small,7292,61.0
11,25,Small,7263,62.0
203,656,Small,7241,63.0
97,262,Small,7196,64.0
112,303,Small,7014,65.0
307,948,Small,6962,66.0
47,127,Small,6824,67.0
5,12,Small,6756,68.0
264,837,Small,6601,69.0
9,22,Small,6490,70.0
95,258,Small,6471,71.0
331,1099,Small,6447,72.0
125,392,Small,6430,73.0
44,120,Small,6396,74.0
46,124,Small,6368,75.0
182,602,Small,6344,76.0
456,1612,Small,6240,77.0
133,416,Small,6149,78.0
417,1507,Small,6122,79.0
175,586,Small,6089,80.0
122,384,Small,6049,81.0
301,931,Small,6045,82.0
336,1113,Small,6024,83.0
440,1564,Small,6015,84.0
249,801,Small,6005,85.0
135,420,Small,5964,86.0
156,541,Small,5964,86.0
184,607,Small,5789,87.0
79,211,Small,5757,88.0
155,539,Small,5727,89.0
286,890,Small,5441,90.0
23,52,Small,5374,91.0
240,781,Small,5259,92.0
185,609,Small,5133,93.0
136,421,Small,5114,94.0
27,76,Small,5084,95.0
33,94,Small,5028,96.0
213,694,Small,5017,97.0
318,980,Small,4960,98.0
399,1390,Small,4960,98.0
221,725,Small,4891,99.0
169,574,Small,4830,100.0
270,855,Small,4823,101.0
106,282,Small,4775,102.0
207,666,Small,4739,103.0
244,791,Small,4724,104.0
119,373,Small,4704,105.0
17,39,Small,4621,106.0
325,1013,Small,4572,107.0
62,168,Small,4534,108.0
453,1603,Small,4485,109.0
272,857,Small,4445,110.0
374,1280,Small,4432,111.0
99,266,Small,4337,112.0
316,975,Small,4304,113.0
281,879,Small,4248,114.0
383,1306,Small,4125,115.0
216,713,Small,4100,116.0
232,758,Small,4099,117.0
261,831,Small,4098,118.0
384,1309,Small,4079,119.0
142,436,Small,4070,120.0
256,815,Small,4002,121.0
220,722,Small,3975,122.0
10,23,Small,3852,123.0
72,195,Small,3800,124.0
208,668,Small,3759,125.0
454,1606,Small,3757,126.0
31,88,Small,3723,127.0
195,631,Small,3643,128.0
80,216,Small,3642,129.0
105,280,Small,3615,130.0
380,1298,Small,3612,131.0
284,886,Small,3582,132.0
53,146,Small,3538,133.0
16,35,Small,3496,134.0
441,1566,Small,3465,135.0
91,246,Small,3427,136.0
255,813,Small,3393,137.0
311,956,Small,3360,138.0
131,410,Small,3290,139.0
296,916,Small,3240,140.0
114,311,Small,3231,141.0
191,622,Small,3096,142.0
285,887,Small,3039,143.0
326,1014,Small,2954,144.0
35,98,Small,2860,145.0
392,1359,Small,2691,146.0
118,371,Small,2603,147.0
177,591,Small,2527,148.0
411,1487,Small,2523,149.0
153,534,Small,2515,150.0
342,1133,Small,2505,151.0
351,1194,Small,2476,152.0
193,627,Small,2450,153.0
196,635,Small,2426,154.0
287,892,Small,2424,155.0
87,238,Small,2387,156.0
158,547,Small,2384,157.0
123,385,Small,2378,158.0
226,744,Small,2378,158.0
38,105,Small,2366,159.0
230,753,Small,2353,160.0
121,379,Small,2349,161.0
173,582,Small,2349,161.0
111,301,Small,2338,162.0
92,250,Small,2322,163.0
229,750,Small,2282,164.0
188,615,Small,2222,165.0
438,1556,Small,2209,166.0
215,709,Small,2207,167.0
362,1228,Small,2138,168.0
28,78,Small,2050,169.0
24,60,Small,2048,170.0
434,1550,Small,1998,171.0
15,32,Small,1992,172.0
252,806,Small,1988,173.0
275,864,Small,1988,173.0
103,276,Small,1978,174.0
138,428,Small,1968,175.0
347,1178,Small,1964,176.0
355,1203,Small,1954,177.0
343,1138,Small,1938,178.0
367,1240,Small,1903,179.0
127,397,Small,1889,180.0
349,1186,Small,1847,181.0
145,485,Small,1706,182.0
178,593,Small,1689,183.0
321,1001,Small,1632,184.0
134,418,Small,1609,185.0
398,1387,Small,1557,186.0
401,1419,Small,1533,187.0
236,771,Small,1229,188.0
4,8,Small,1217,189.0
345,1173,Small,1212,190.0
94,256,Small,1192,191.0
126,395,Small,1175,192.0
273,860,Small,1169,193.0
446,1579,Small,1146,194.0
36,101,Small,976,195.0
274,863,Small,293,196.0
